text,lat,lon
a couple on a bus,50.93472671508789,-1.3969910144805908
a street with people walking around it,21.495559692382812,39.1937255859375
a man sitting in a chair,51.47418212890625,-0.3790920078754425
a crane is seen in the fore - eye of a construction site in the city of san,43.45161056518555,-80.49978637695312
a view of the ocean from the cliffs,-27.61347007751465,-48.4333381652832
a view of the ocean from a car window,55.30704879760742,10.888063430786133
a dog standing in the dirt,38.40396499633789,-122.85152435302734
burnt cars are seen in the streets of the city of tripoli,30.069093704223633,31.2286376953125
a woman and two children playing in the fountain,48.855411529541016,2.365086078643799
a blue sports car parked in front of a house,52.52199935913086,-3.305666923522949
a man and woman dancing at a party,48.14506530761719,11.545777320861816
a sunset view from the top of a mountain,44.81727981567383,-91.49482727050781
an airplane flying over the city,35.68274688720703,139.7657470703125
the church of san francisco de asis in the town of san francisco de asis,41.3973503112793,-2.9508590698242188
a small building on the side of the street,45.52295684814453,-122.68123626708984
a tree in front of a church,48.87013244628906,2.3538200855255127
a hill with a castle on top,41.345951080322266,1.5837470293045044
the light from the window in the bedroom,46.254302978515625,20.131887435913086
a group of people sitting on a rocky hillside,41.73273849487305,23.429346084594727
a view of a city at sunset,42.73833465576172,-87.7836685180664
a tomato plant with a bottle of beer in it,33.9291877746582,-118.42031860351562
the logo of the company,38.7635612487793,-9.093761444091797
a pan of food,50.998451232910156,5.875807762145996
a bridge over the water at dusk,23.57066535949707,119.5625
a squirrel eating food,60.23506164550781,24.937870025634766
a bench sitting in the middle of a flooded street,50.10910415649414,8.689949989318848
a whale jumping out of the water,3.9957799911499023,-77.36846923828125
red berries on a tree branch,52.1956901550293,0.587939977645874
two men sitting at a table with microphones,43.2604866027832,-2.9297869205474854
the parade in the city,53.4813117980957,-2.247781991958618
a view of the city from a rooftop,41.411903381347656,2.1519269943237305
a group of people,38.247169494628906,-85.60989379882812
a lizard on a wooden table,39.44487762451172,-105.41695404052734
a wooden sign with many different types of signs,46.15652847290039,-123.95153045654297
